"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","ontology","term","dir","gene_id"
"K23881",0.0020841541361058,1,1,1,"KEGG","tectonin beta-propeller repeat-containing protein 2","up","Pver_g13298"
"K23796",0.00212639019895006,1,1,1,"KEGG","pleckstrin homology domain-containing family A member 1/2","up","Pver_g22737"
"K24482",0.00252471916555807,1,1,1,"KEGG","cytokine receptor-like factor 3","up","Pver_g696"
"K03213",0.0025337859639504,1,1,1,"KEGG","naked cuticle","up","Pver_g13481"
"K04346",0.00256008376319045,1,1,1,"KEGG","guanine nucleotide-binding protein subunit alpha-12","up","Pver_g4609"
"K11344",0.00256997288298552,1,1,1,"KEGG","chromatin modification-related protein EAF6","up","Pver_g1867"
"K08489",0.00258329029405162,1,1,1,"KEGG","syntaxin 16","up","Pver_g9323"
"K00993",0.00259408244049557,1,1,1,"KEGG","ethanolaminephosphotransferase [EC:2.7.8.1]","up","Pver_g5863"
"K06875",0.00259697838565638,1,1,1,"KEGG","programmed cell death protein 5","up","Pver_g14"
"K24686",0.00261886966679354,1,1,1,"KEGG","AN1-type zinc finger protein 3","up","Pver_g18486"
"K15120",0.00262202729822253,1,1,1,"KEGG","solute carrier family 25, member 43","up","Pver_g23231"
"K00657",0.00262362427863002,1,1,1,"KEGG","diamine N-acetyltransferase [EC:2.3.1.57]","up","Pver_g15981"
"K00657",0.00262362427863002,1,1,1,"KEGG","diamine N-acetyltransferase [EC:2.3.1.57]","up","Pver_novel_model_486_5de57afd"
"K16782",0.00262423506067562,1,1,1,"KEGG","neuralized-like protein 2","up","Pver_g9534"
"K09349",0.00262423564634988,1,1,1,"KEGG","homeobox protein Nkx-5","up","Pver_g16743"
"K12345",0.00262423564634988,1,1,1,"KEGG","3-oxo-5-alpha-steroid 4-dehydrogenase 3 / polyprenol reductase [EC:1.3.1.22 1.3.1.94]","up","Pver_g13043"
"K15078",0.00262423564634988,1,1,1,"KEGG","structure-specific endonuclease subunit SLX1 [EC:3.6.1.-]","up","Pver_g187"
"K16541",0.00407057635037048,0.999995912064082,1,2,"KEGG","coiled-coil domain-containing protein 14","up","Pver_g13700"
"K16541",0.00407057635037048,0.999995912064082,1,2,"KEGG","coiled-coil domain-containing protein 14","up","Pver_g15034"
"K03353",0.0042346580846536,0.999995575489267,1,2,"KEGG","anaphase-promoting complex subunit 6","up","Pver_g5996"
"K03353",0.0042346580846536,0.999995575489267,1,2,"KEGG","anaphase-promoting complex subunit 6","up","Pver_g9424"
"K01974",0.00446031700089523,0.999995090809204,1,2,"KEGG","RNA 3'-terminal phosphate cyclase (ATP) [EC:6.5.1.4]","up","Pver_g15241"
"K01974",0.00446031700089523,0.999995090809204,1,2,"KEGG","RNA 3'-terminal phosphate cyclase (ATP) [EC:6.5.1.4]","up","Pver_g16339"
"K10475",0.00446498689712567,0.999995080512399,1,2,"KEGG","kelch repeat and BTB domain-containing protein 8","up","Pver_g5180"
"K10475",0.00446498689712567,0.999995080512399,1,2,"KEGG","kelch repeat and BTB domain-containing protein 8","up","Pver_g17264"
"K02886",0.00459516164252486,0.999994789134391,1,2,"KEGG","large subunit ribosomal protein L2","up","Pver_g774"
"K02886",0.00459516164252486,0.999994789134391,1,2,"KEGG","large subunit ribosomal protein L2","up","Pver_g4700"
"K13513",0.00478725752231521,0.999994343805144,1,2,"KEGG","lysocardiolipin and lysophospholipid acyltransferase [EC:2.3.1.- 2.3.1.51]","up","Pver_g14589"
"K13513",0.00478725752231521,0.999994343805144,1,2,"KEGG","lysocardiolipin and lysophospholipid acyltransferase [EC:2.3.1.- 2.3.1.51]","up","Pver_g22809"
"K13513",0.00478725752231521,0.999994343805144,1,2,"KEGG","lysocardiolipin and lysophospholipid acyltransferase [EC:2.3.1.- 2.3.1.51]","up","Pver_novel_model_751_5de57afd"
"K20123",0.0049264350949335,0.999994009720239,1,2,"KEGG","protein kinase C and casein kinase substrate in neurons protein","up","Pver_g10012"
"K20123",0.0049264350949335,0.999994009720239,1,2,"KEGG","protein kinase C and casein kinase substrate in neurons protein","up","Pver_g11124"
"K20368",0.00524073361962944,0.999993219912548,1,2,"KEGG","protein cornichon","up","Pver_g6870"
